Step,Reward,Accumulated reward,Throttle,Steer,Deviation,Velocity,Brake
141,0.9868027210235596,121.06074387156148,0.5,0.01,0.0,4.736054420471191,-1.0
142,0.9885066270828247,122.04925049864431,0.5,0.01,0.0,4.770132541656494,-1.0
143,0.9901003360748291,123.03935083471914,0.5,0.01,0.0,4.802006721496582,-1.0
144,0.9918344497680665,124.03118528448721,0.5,0.01,0.0,4.836688995361328,-1.0
145,0.9935539722442627,125.02473925673146,0.5,0.01,0.0,4.871079444885254,-1.0
146,0.9951531171798706,126.01989237391133,0.5,0.01,0.0,4.903062343597412,-1.0
147,0.9969043254852294,127.01679669939656,0.5,0.01,0.0,4.93808650970459,-1.0
148,0.9980517387390136,128.01484843813557,0.5,0.01,0.0,4.961034774780273,-1.0
149,0.9996786832809448,129.0145271214165,0.5,0.01,0.0,4.9935736656188965,-1.0
150,1.0,130.0145271214165,0.5,0.01,0.0,5.027943134307861,-1.0
151,1.0,131.0145271214165,0.5,0.01,0.0,5.05047082901001,-1.0
152,1.0,132.0145271214165,0.5,0.01,0.0,5.089989185333252,-1.0
153,1.0,133.0145271214165,0.5,0.01,0.0,5.080557346343994,-1.0
154,1.0,134.0145271214165,0.5,0.01,0.0,5.0806989669799805,-1.0
155,1.0,135.0145271214165,0.5,0.01,0.0,5.106922149658203,-1.0
156,0.9925,136.0070271214165,0.5,0.01,-1.0,5.130192756652832,-1.0
157,0.9925,136.99952712141652,0.5,0.01,-1.0,5.098574638366699,-1.0
158,0.9925,137.99202712141653,0.5,0.01,-1.0,5.0825371742248535,-1.0
159,0.9925,138.98452712141653,0.5,0.01,-1.0,5.066764831542969,-1.0
160,0.9925,139.97702712141654,0.5,0.01,-1.0,5.098259449005127,-1.0
161,0.9925,140.96952712141655,0.5,0.01,-1.0,5.131166934967041,-1.0
162,0.9925,141.96202712141655,0.5,0.01,-1.0,5.165968418121338,-1.0
163,0.9925,142.95452712141656,0.5,0.01,-1.0,5.191713809967041,-1.0
164,0.9925,143.94702712141657,0.5,0.01,-1.0,5.230277061462402,-1.0
165,0.9925,144.93952712141657,0.5,0.01,-1.0,5.21917724609375,-1.0
166,0.9925,145.93202712141658,0.5,0.01,-1.0,5.222228527069092,-1.0
167,0.9925,146.9245271214166,0.5,0.01,-1.0,5.220998287200928,-1.0
168,0.9925,147.9170271214166,0.5,0.01,-1.0,5.220814228057861,-1.0
169,0.9925,148.9095271214166,0.5,0.01,-1.0,5.228824615478516,-1.0
170,0.9925,149.9020271214166,0.5,0.01,-1.0,5.270915508270264,-1.0
171,0.9925,150.89452712141662,0.5,0.01,-1.0,5.303267002105713,-1.0
172,0.9925,151.88702712141662,0.5,0.01,-1.0,5.346677780151367,-1.0
173,0.9925,152.87952712141663,0.5,0.01,-1.0,5.37039041519165,-1.0
174,0.9925,153.87202712141664,0.5,0.01,-1.0,5.377578258514404,-1.0
175,0.9925,154.86452712141664,0.5,0.01,-1.0,5.408563137054443,-1.0
176,0.9925,155.85702712141665,0.5,0.01,-1.0,5.420530796051025,-1.0
177,0.9925,156.84952712141666,0.5,0.01,-1.0,5.440238952636719,-1.0
178,0.9925,157.84202712141666,0.5,0.01,-1.0,5.435515880584717,-1.0
179,0.9925,158.83452712141667,0.5,0.01,-1.0,5.4411540031433105,-1.0
180,0.9925,159.82702712141668,0.5,0.01,-1.0,5.458451271057129,-1.0
181,0.9925,160.81952712141668,0.5,0.01,-1.0,5.495693683624268,-1.0
182,0.9925,161.8120271214167,0.5,0.01,-1.0,5.549044132232666,-1.0
183,0.9925,162.8045271214167,0.5,0.01,-1.0,5.631696701049805,-1.0
184,0.9925,163.7970271214167,0.5,0.01,-1.0,5.670458793640137,-1.0
185,1.0,164.7970271214167,0.5,0.01,0.0,5.723230361938477,-1.0
186,1.0,165.7970271214167,0.5,0.01,0.0,5.750579357147217,-1.0
187,1.0,166.7970271214167,0.5,0.01,0.0,5.740451812744141,-1.0
188,1.0,167.7970271214167,0.5,0.01,0.0,5.7321858406066895,-1.0
189,1.0,168.7970271214167,0.5,0.01,0.0,5.818701267242432,-1.0
190,0.9925,169.7895271214167,0.5,0.01,1.0,5.875148296356201,-1.0
191,0.9925,170.78202712141672,0.5,0.01,1.0,5.924070358276367,-1.0
192,0.9925,171.77452712141672,0.5,0.01,1.0,5.919731140136719,-1.0
193,0.9925,172.76702712141673,0.5,0.01,1.0,5.939801216125488,-1.0
194,0.9925,173.75952712141674,0.5,0.01,1.0,5.954065799713135,-1.0
195,0.9925,174.75202712141675,0.5,0.01,1.0,5.948417663574219,-1.0
196,0.9925,175.74452712141675,0.5,0.01,1.0,5.947004795074463,-1.0
197,0.985,176.72952712141677,0.5,0.01,2.0,5.955956935882568,-1.0
198,0.985,177.71452712141678,0.5,0.01,2.0,5.965926170349121,-1.0
199,0.985,178.6995271214168,0.5,0.01,2.0,5.980653285980225,-1.0
200,0.985,179.6845271214168,0.5,0.01,2.0,5.993768692016602,-1.0
201,0.985,180.66952712141682,0.5,0.01,2.0,6.007186412811279,-1.0
202,0.985,181.65452712141683,0.5,0.01,2.0,6.023195743560791,-1.0
203,0.985,182.63952712141685,0.5,0.01,2.0,6.040940761566162,-1.0
204,0.985,183.62452712141686,0.5,0.01,2.0,6.060488224029541,-1.0
205,0.985,184.60952712141687,0.5,0.01,2.0,6.046218395233154,-1.0
206,0.985,185.5945271214169,0.5,0.01,2.0,6.070027828216553,-1.0
207,0.9775,186.57202712141688,0.5,0.01,3.0,6.123572826385498,-1.0
208,0.9775,187.54952712141687,0.5,0.01,3.0,6.140634536743164,-1.0
209,0.9775,188.52702712141686,0.5,0.01,3.0,6.171923637390137,-1.0
210,0.9775,189.50452712141686,0.5,0.01,3.0,6.186356067657471,-1.0
211,0.9775,190.48202712141685,0.5,0.01,3.0,6.199749946594238,-1.0
212,0.9775,191.45952712141684,0.5,0.01,3.0,6.251109600067139,-1.0
213,0.9775,192.43702712141683,0.5,0.01,3.0,6.27879524230957,-1.0
214,0.97,193.40702712141683,0.5,0.01,4.0,6.32145357131958,-1.0
215,0.97,194.37702712141683,0.5,0.01,4.0,6.355661869049072,-1.0
216,0.97,195.34702712141683,0.5,0.01,4.0,6.368016719818115,-1.0
217,0.97,196.31702712141683,0.5,0.01,4.0,6.36277437210083,-1.0
218,0.97,197.28702712141683,0.5,0.01,4.0,6.367683410644531,-1.0
219,0.97,198.25702712141683,0.5,0.01,4.0,6.403826713562012,-1.0
220,0.97,199.22702712141682,0.5,0.01,4.0,6.431059837341309,-1.0
221,0.9625,200.18952712141683,0.5,0.01,5.0,6.460570812225342,-1.0
222,0.9625,201.15202712141684,0.5,0.01,5.0,6.427002429962158,-1.0
223,0.9625,202.11452712141684,0.5,0.01,5.0,6.494568347930908,-1.0
224,0.9625,203.07702712141685,0.5,0.01,5.0,6.532966136932373,-1.0
225,0.9625,204.03952712141685,0.5,0.01,5.0,6.54990816116333,-1.0
226,0.9625,205.00202712141686,0.5,0.01,5.0,6.570998191833496,-1.0
227,0.9625,205.96452712141686,0.5,0.01,5.0,6.602922439575195,-1.0
228,0.9625,206.92702712141687,0.5,0.01,5.0,6.631041526794434,-1.0
229,0.9625,207.88952712141688,0.5,0.01,5.0,6.6475324630737305,-1.0
230,0.9625,208.85202712141688,0.5,0.01,5.0,6.6340861320495605,-1.0
231,0.9625,209.8145271214169,0.5,0.01,5.0,6.62197208404541,-1.0
232,0.955,210.7695271214169,0.5,0.01,6.0,6.6458024978637695,-1.0
233,0.955,211.7245271214169,0.5,0.01,6.0,6.65037727355957,-1.0
234,0.955,212.67952712141692,0.5,0.01,6.0,6.647145748138428,-1.0
235,0.955,213.63452712141694,0.5,0.01,6.0,6.648458003997803,-1.0
236,0.955,214.58952712141695,0.5,0.01,6.0,6.652431011199951,-1.0
237,0.955,215.54452712141696,0.5,0.01,6.0,6.670690059661865,-1.0
238,0.955,216.49952712141697,0.5,0.01,6.0,6.699291229248047,-1.0
239,0.9475,217.44702712141697,0.5,0.01,7.0,6.746510982513428,-1.0
240,0.9475,218.39452712141696,0.5,0.01,7.0,6.762451648712158,-1.0
241,0.9475,219.34202712141695,0.5,0.01,7.0,6.7939887046813965,-1.0
242,0.9475,220.28952712141694,0.5,0.01,7.0,6.812826633453369,-1.0
243,0.9475,221.23702712141693,0.5,0.01,7.0,6.83795690536499,-1.0
244,0.94,222.17702712141693,0.5,0.01,8.0,6.853227138519287,-1.0
245,0.94,223.11702712141692,0.5,0.01,8.0,6.843374729156494,-1.0
246,0.94,224.05702712141692,0.5,0.01,8.0,6.8684468269348145,-1.0
247,0.94,224.99702712141692,0.5,0.01,8.0,6.8730692863464355,-1.0
248,0.94,225.93702712141692,0.5,0.01,8.0,6.905259609222412,-1.0
249,0.94,226.87702712141692,0.5,0.01,8.0,6.902936935424805,-1.0
250,0.94,227.8170271214169,0.5,0.01,8.0,6.913973808288574,-1.0
251,0.9325,228.74952712141692,0.5,0.01,9.0,6.9251909255981445,-1.0
252,0.9325,229.68202712141692,0.5,0.01,9.0,6.934351444244385,-1.0
