Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
145,33.36789190199944,150,False,-106.0,-1.0,3.836218891247761,6.197539258232961,79.33333333333333
146,-11.642025762171038,108,False,-104.0,-1.0,3.731289931949791,4.680526226116517,100.0
147,24.099299980417854,130,False,-107.0,-1.0,3.880681911457986,5.591978222067253,100.0
148,9.456363426121413,151,False,-97.0,-1.0,3.9622085115510624,6.013518572900605,100.0
149,50.23340026411687,186,False,-108.0,-1.0,3.9627996444658615,6.7891794003293375,65.05376344086021
150,12.346803582982545,144,False,-105.0,-1.0,3.8007734785876606,5.190624797058667,100.0
151,24.659365149302403,154,False,-102.0,-1.0,3.849557005060562,5.940106207058862,100.0
152,52.38257022724876,204,False,-92.0,-1.0,3.96929062094083,7.37165349833302,97.05882352941177
153,100.36308510329218,225,False,-96.0,-1.0,3.64105355628279,8.470878005003971,59.55555555555555
154,-35.027047588904665,103,False,-101.0,-1.0,3.772395462729478,4.201266428627508,100.0
155,82.82464956956196,226,False,-114.0,-1.0,3.9712947171858177,7.39918184250725,56.19469026548673
156,44.423804997316594,168,False,-112.0,-1.0,3.9105877586459052,6.6765946077205065,57.738095238095234
157,-20.982742370656098,124,False,-112.0,-1.0,3.993828551607612,4.357000419646576,100.0
158,69.44990458165387,259,False,-103.0,-1.0,3.471161761145669,7.460878827001425,76.06177606177607
159,-23.420184645487886,121,False,-103.0,-1.0,3.7787289288118844,4.473906221408936,100.0
160,36.563261339546884,191,False,-88.0,-1.0,3.6703963750977113,6.795699276204382,98.95287958115183
161,22.53551283942791,170,False,-93.0,-1.0,3.798688035473985,6.68596021662028,99.41176470588235
162,-19.073255065206155,121,False,-112.0,-1.0,3.6877053107492874,5.0797261578638935,100.0
163,21.698047700852484,122,False,-98.0,-1.0,3.9788536851847063,5.580420081385365,100.0
164,36.83390153436521,189,False,-102.0,-1.0,3.7311226968854223,6.883777325658778,99.47089947089947
165,57.725924229256606,199,False,-84.0,-1.0,3.5911062895007313,7.829133277304995,98.49246231155779
166,61.60484027433347,181,False,-104.0,-1.0,3.839270778349277,7.00216078284989,66.85082872928176
167,24.71133563579764,175,False,-97.0,-1.0,3.8283332785944704,6.5086291765754245,99.42857142857143
168,76.08792336865955,198,False,-106.0,-1.0,3.7711813895294055,7.065527495514187,59.59595959595959
169,80.07414652670451,212,False,-109.0,-1.0,3.751831229664884,6.90922823869118,62.264150943396224
170,99.36640560241068,211,False,-99.0,-1.0,3.8529055983040856,8.571323918669718,59.71563981042654
171,-21.610016935064927,149,False,-92.0,-1.0,3.986812193794788,4.364499207654806,100.0
172,13.436769495868646,158,False,-91.0,-1.0,3.850038012061373,5.9191212910905335,99.36708860759494
173,21.17120210756586,132,False,-95.0,-1.0,3.955612422143403,5.4356325759153785,100.0
174,-9.424197822805617,140,False,-86.0,-1.0,3.814194563346748,5.1182058766833505,100.0
175,77.17167438017765,183,False,-103.0,-1.0,3.526930850395171,7.133527275257555,49.18032786885246
176,82.21121128712676,190,False,-110.0,-1.0,3.9197139670603396,7.136506555685283,47.368421052631575
177,40.37590216105377,214,False,-103.0,-1.0,3.9905477913562595,7.490018241464326,99.53271028037383
178,65.715628440406,190,False,-100.0,-1.0,3.6715730828694464,7.527157536905112,66.3157894736842
179,1.150339728745024,145,False,-94.0,-1.0,3.665115950231005,5.310141259427022,100.0
180,79.74106024854197,203,False,-95.0,-1.0,3.683774774949989,7.574901465663751,47.29064039408867
181,32.963861886629346,233,False,-96.0,-1.0,3.9631707270376637,7.332915134997759,99.14163090128756
182,43.4116241310379,176,False,-99.0,-1.0,3.876516183635741,6.231947576833508,71.02272727272727
183,-9.183443608980546,134,False,-101.0,-1.0,3.888424006800862,4.384801851526431,100.0
184,-1.469147717171154,125,False,-106.0,-1.0,3.7661150712666833,5.106096659425413,100.0
185,63.60046308673175,203,False,-105.0,-1.0,3.845449825532922,6.714330609791495,60.591133004926114
186,-12.183009984499066,146,False,-90.0,-1.0,3.946676877227623,4.5117503548876625,100.0
187,84.03933147290059,200,False,-99.0,-1.0,3.9257608754774553,7.056976838392439,61.0
188,49.05445313320337,183,False,-96.0,-1.0,3.849178514996308,6.768938876413664,72.1311475409836
189,-11.211652811774464,126,False,-109.0,-1.0,3.7628035972872107,5.093278732342971,100.0
190,-0.8160875145356812,125,False,-99.0,-1.0,3.894218978623342,5.098617333965376,100.0
191,47.196261571630174,181,False,-101.0,-1.0,3.7153030076598514,6.764935850506669,73.48066298342542
192,45.10353334793449,177,False,-99.0,-1.0,3.9563045483492085,6.590737184013719,64.97175141242938
193,48.756607837150284,195,False,-90.0,-1.0,3.528837312883214,7.232707721408074,98.97435897435898
194,-8.31972258330422,106,False,-102.0,-1.0,3.843066838384023,4.663328450755216,100.0
195,-12.374648224924186,103,False,-98.0,-1.0,3.92546827240475,4.578689529246298,100.0
196,-23.982372840091067,132,False,-85.0,-1.0,3.952271868888111,4.3188030913976645,100.0
197,36.45413968070673,140,False,-102.0,-1.0,3.9644042196114415,5.598253425669723,94.28571428571428
198,107.20004317591429,218,False,-93.0,-1.0,3.8060370321662518,7.831332437500759,58.256880733944946
199,13.029487698929074,131,False,-107.0,-1.0,3.689775173847909,5.4005561660804595,100.0
200,-23.522005180337437,118,False,-98.0,-1.0,3.7849084886540556,4.337456754497568,100.0
201,67.44541865741225,203,False,-97.0,-1.0,3.9618004291597404,6.7093644847868585,65.02463054187191
202,-2.9867241084868326,102,False,-94.0,-1.0,3.8704899911739226,4.854401845176814,100.0
203,17.858324867434533,133,False,-110.0,-1.0,3.838107239765057,5.398648522556164,100.0
204,46.23895837044729,195,False,-90.0,-1.0,3.690545574344969,7.5118673731358,98.97435897435898
205,67.97325339413715,196,False,-98.0,-1.0,3.9788133589562813,6.73782583590174,63.26530612244898
206,60.60342437897768,198,False,-96.0,-1.0,3.9141473905714106,6.661302554973806,61.61616161616161
207,52.53002640995766,162,False,-111.0,-1.0,3.9065481891794143,6.485331504378629,58.0246913580247
208,72.1679418709345,184,False,-101.0,-1.0,3.9270896136335347,6.288326971739044,67.3913043478261
209,38.290189628155545,163,False,-96.0,-1.0,3.9768785938372013,6.033049418015314,73.00613496932516
210,89.38344980859063,350,False,-100.0,-1.0,3.9946289253580414,7.9637596935891946,85.42857142857143
211,18.173291946818736,146,False,-111.0,-1.0,3.872892910912601,5.90762709468214,100.0
212,93.55456429377483,239,False,-105.0,-1.0,3.950597228121478,6.787901178840158,74.47698744769873
213,44.82155946880283,202,False,-86.0,-1.0,3.8754091631518306,6.455197982702146,99.00990099009901
214,29.80652485429559,140,False,-86.0,-1.0,3.928943888797254,5.452556287350931,100.0
215,50.49545744721709,216,False,-105.0,-1.0,3.906384632338584,6.9946110627271185,70.37037037037037
216,-3.46323390244838,133,False,-101.0,-1.0,3.8189070023488587,5.142993312540877,100.0
217,-16.29751454385694,125,False,-80.0,-1.0,3.8847668626518232,4.480031523171812,100.0
218,76.53833166859653,201,False,-94.0,-1.0,3.9198722784557654,6.823474003577753,69.15422885572139
219,6.355200602248672,130,False,-75.0,-1.0,3.876261306632956,5.524885086738505,100.0
220,77.30860696071139,210,False,-91.0,-1.0,3.7579458785134343,7.591193343456169,56.666666666666664
221,30.19228997511827,187,False,-90.0,-1.0,3.998709050982744,6.35949234789322,99.46524064171123
222,-4.217402062636509,121,False,-88.0,-1.0,3.604301778198973,4.789912970544201,100.0
223,24.93736389786841,149,False,-86.0,-1.0,3.6780981347228976,5.5668011839554685,100.0
224,110.7309648277481,225,False,-96.0,-1.0,3.6731041989494155,5.171490906943671,67.11111111111111
225,33.02468708282309,147,False,-106.0,-1.0,3.8310022578437124,6.145103373165641,84.35374149659864
226,60.5170732104949,189,False,-101.0,-1.0,3.980205280995191,6.611180902387277,71.95767195767195
227,122.12678490875598,262,False,-112.0,-1.0,3.8189924518272793,6.870050989610378,48.854961832061065
228,-13.806825117612561,123,False,-105.0,-1.0,3.950468480475843,5.065877604729882,100.0
229,50.09148675224404,196,False,-76.0,-1.0,3.906876385036027,6.189309695508682,98.9795918367347
230,17.29051428280519,163,False,-102.0,-1.0,3.6721810078553125,5.256668535229733,100.0
231,74.17618714997263,227,False,-104.0,-1.0,3.8452652121271713,6.743612670570423,66.07929515418502
232,62.48800262771971,202,False,-96.0,-1.0,3.812375747892604,6.221221540656891,76.73267326732673
233,141.324720907096,276,False,-104.0,-1.0,3.7955805772871076,7.041070884406614,69.56521739130434
234,95.94234643816623,229,False,-111.0,-1.0,3.7233225815592603,6.2053659836086545,72.0524017467249
235,74.00032551404976,222,False,-87.0,-1.0,3.7566354187799607,6.719418827367753,99.54954954954955
236,-3.697968914272444,112,False,-99.0,-1.0,3.6280313206973847,4.689131836564878,100.0
237,46.01938416674275,194,False,-81.0,-1.0,3.701185324923671,6.5682714210856785,99.48453608247422
238,70.01042884922865,201,False,-93.0,-1.0,3.709255430009091,6.621755930358794,62.68656716417911
239,57.85665450935308,188,False,-71.0,-1.0,3.8284918994801034,5.604456950729574,98.93617021276596
240,9.11635600088863,139,False,-99.0,-1.0,3.7084646407828132,5.159343775026768,100.0
